"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Status"
"zl-signature-hoodie-black","ZL Signature Hoodie Black","<p>Premium black hoodie with gold ZL chest logo and back branding. Heavy soft feel, oversized streetwear fit and clean black-gold identity.</p>","ZL Worldwide","Apparel & Accessories","Hoodie","hoodie, black, gold, streetwear, zl worldwide","FALSE","Size","XS","Color","Black","ZL-HOOD-BLK-XS","700","shopify","0","deny","manual","74.95","89.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/black-product.jpg","1","ZL Signature Hoodie Black - ZL Worldwide","FALSE","ZL Signature Hoodie Black | ZL Worldwide","Premium black hoodie with gold ZL chest logo and back branding. Heavy soft feel, oversized streetwear fit and clean black-gold identity.","draft"
"zl-signature-hoodie-black","ZL Signature Hoodie Black","<p>Premium black hoodie with gold ZL chest logo and back branding. Heavy soft feel, oversized streetwear fit and clean black-gold identity.</p>","ZL Worldwide","Apparel & Accessories","Hoodie","hoodie, black, gold, streetwear, zl worldwide","FALSE","Size","S","Color","Black","ZL-HOOD-BLK-S","700","shopify","0","deny","manual","74.95","89.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/black-product.jpg","2","ZL Signature Hoodie Black - ZL Worldwide","FALSE","ZL Signature Hoodie Black | ZL Worldwide","Premium black hoodie with gold ZL chest logo and back branding. Heavy soft feel, oversized streetwear fit and clean black-gold identity.","draft"
"zl-signature-hoodie-black","ZL Signature Hoodie Black","<p>Premium black hoodie with gold ZL chest logo and back branding. Heavy soft feel, oversized streetwear fit and clean black-gold identity.</p>","ZL Worldwide","Apparel & Accessories","Hoodie","hoodie, black, gold, streetwear, zl worldwide","FALSE","Size","M","Color","Black","ZL-HOOD-BLK-M","700","shopify","0","deny","manual","74.95","89.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/black-product.jpg","3","ZL Signature Hoodie Black - ZL Worldwide","FALSE","ZL Signature Hoodie Black | ZL Worldwide","Premium black hoodie with gold ZL chest logo and back branding. Heavy soft feel, oversized streetwear fit and clean black-gold identity.","draft"
"zl-signature-hoodie-black","ZL Signature Hoodie Black","<p>Premium black hoodie with gold ZL chest logo and back branding. Heavy soft feel, oversized streetwear fit and clean black-gold identity.</p>","ZL Worldwide","Apparel & Accessories","Hoodie","hoodie, black, gold, streetwear, zl worldwide","FALSE","Size","L","Color","Black","ZL-HOOD-BLK-L","700","shopify","0","deny","manual","74.95","89.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/black-product.jpg","4","ZL Signature Hoodie Black - ZL Worldwide","FALSE","ZL Signature Hoodie Black | ZL Worldwide","Premium black hoodie with gold ZL chest logo and back branding. Heavy soft feel, oversized streetwear fit and clean black-gold identity.","draft"
"zl-signature-hoodie-black","ZL Signature Hoodie Black","<p>Premium black hoodie with gold ZL chest logo and back branding. Heavy soft feel, oversized streetwear fit and clean black-gold identity.</p>","ZL Worldwide","Apparel & Accessories","Hoodie","hoodie, black, gold, streetwear, zl worldwide","FALSE","Size","XL","Color","Black","ZL-HOOD-BLK-XL","700","shopify","0","deny","manual","74.95","89.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/black-product.jpg","5","ZL Signature Hoodie Black - ZL Worldwide","FALSE","ZL Signature Hoodie Black | ZL Worldwide","Premium black hoodie with gold ZL chest logo and back branding. Heavy soft feel, oversized streetwear fit and clean black-gold identity.","draft"
"zl-signature-hoodie-black","ZL Signature Hoodie Black","<p>Premium black hoodie with gold ZL chest logo and back branding. Heavy soft feel, oversized streetwear fit and clean black-gold identity.</p>","ZL Worldwide","Apparel & Accessories","Hoodie","hoodie, black, gold, streetwear, zl worldwide","FALSE","Size","XXL","Color","Black","ZL-HOOD-BLK-XXL","700","shopify","0","deny","manual","74.95","89.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/black-product.jpg","6","ZL Signature Hoodie Black - ZL Worldwide","FALSE","ZL Signature Hoodie Black | ZL Worldwide","Premium black hoodie with gold ZL chest logo and back branding. Heavy soft feel, oversized streetwear fit and clean black-gold identity.","draft"
"zl-signature-hoodie-white","ZL Signature Hoodie White","<p>White hoodie with refined gold ZL details. A bright, high-status contrast piece for a full ZL look.</p>","ZL Worldwide","Apparel & Accessories","Hoodie","hoodie, white, gold, streetwear, zl worldwide","FALSE","Size","XS","Color","White","ZL-HOOD-WHT-XS","700","shopify","0","deny","manual","74.95","89.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/white-product.jpg","1","ZL Signature Hoodie White - ZL Worldwide","FALSE","ZL Signature Hoodie White | ZL Worldwide","White hoodie with refined gold ZL details. A bright, high-status contrast piece for a full ZL look.","draft"
"zl-signature-hoodie-white","ZL Signature Hoodie White","<p>White hoodie with refined gold ZL details. A bright, high-status contrast piece for a full ZL look.</p>","ZL Worldwide","Apparel & Accessories","Hoodie","hoodie, white, gold, streetwear, zl worldwide","FALSE","Size","S","Color","White","ZL-HOOD-WHT-S","700","shopify","0","deny","manual","74.95","89.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/white-product.jpg","2","ZL Signature Hoodie White - ZL Worldwide","FALSE","ZL Signature Hoodie White | ZL Worldwide","White hoodie with refined gold ZL details. A bright, high-status contrast piece for a full ZL look.","draft"
"zl-signature-hoodie-white","ZL Signature Hoodie White","<p>White hoodie with refined gold ZL details. A bright, high-status contrast piece for a full ZL look.</p>","ZL Worldwide","Apparel & Accessories","Hoodie","hoodie, white, gold, streetwear, zl worldwide","FALSE","Size","M","Color","White","ZL-HOOD-WHT-M","700","shopify","0","deny","manual","74.95","89.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/white-product.jpg","3","ZL Signature Hoodie White - ZL Worldwide","FALSE","ZL Signature Hoodie White | ZL Worldwide","White hoodie with refined gold ZL details. A bright, high-status contrast piece for a full ZL look.","draft"
"zl-signature-hoodie-white","ZL Signature Hoodie White","<p>White hoodie with refined gold ZL details. A bright, high-status contrast piece for a full ZL look.</p>","ZL Worldwide","Apparel & Accessories","Hoodie","hoodie, white, gold, streetwear, zl worldwide","FALSE","Size","L","Color","White","ZL-HOOD-WHT-L","700","shopify","0","deny","manual","74.95","89.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/white-product.jpg","4","ZL Signature Hoodie White - ZL Worldwide","FALSE","ZL Signature Hoodie White | ZL Worldwide","White hoodie with refined gold ZL details. A bright, high-status contrast piece for a full ZL look.","draft"
"zl-signature-hoodie-white","ZL Signature Hoodie White","<p>White hoodie with refined gold ZL details. A bright, high-status contrast piece for a full ZL look.</p>","ZL Worldwide","Apparel & Accessories","Hoodie","hoodie, white, gold, streetwear, zl worldwide","FALSE","Size","XL","Color","White","ZL-HOOD-WHT-XL","700","shopify","0","deny","manual","74.95","89.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/white-product.jpg","5","ZL Signature Hoodie White - ZL Worldwide","FALSE","ZL Signature Hoodie White | ZL Worldwide","White hoodie with refined gold ZL details. A bright, high-status contrast piece for a full ZL look.","draft"
"zl-signature-hoodie-white","ZL Signature Hoodie White","<p>White hoodie with refined gold ZL details. A bright, high-status contrast piece for a full ZL look.</p>","ZL Worldwide","Apparel & Accessories","Hoodie","hoodie, white, gold, streetwear, zl worldwide","FALSE","Size","XXL","Color","White","ZL-HOOD-WHT-XXL","700","shopify","0","deny","manual","74.95","89.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/white-product.jpg","6","ZL Signature Hoodie White - ZL Worldwide","FALSE","ZL Signature Hoodie White | ZL Worldwide","White hoodie with refined gold ZL details. A bright, high-status contrast piece for a full ZL look.","draft"
"zl-oversized-tee-black","ZL Oversized Tee Black","<p>Oversized black tee with ZL logo placement and clean back print. Easy to style, premium visual impact.</p>","ZL Worldwide","Apparel & Accessories","T-Shirt","tee, black, gold, oversized, zl worldwide","FALSE","Size","XS","Color","Black","ZL-TEE-BLK-XS","700","shopify","0","deny","manual","44.95","54.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/black-product.jpg","1","ZL Oversized Tee Black - ZL Worldwide","FALSE","ZL Oversized Tee Black | ZL Worldwide","Oversized black tee with ZL logo placement and clean back print. Easy to style, premium visual impact.","draft"
"zl-oversized-tee-black","ZL Oversized Tee Black","<p>Oversized black tee with ZL logo placement and clean back print. Easy to style, premium visual impact.</p>","ZL Worldwide","Apparel & Accessories","T-Shirt","tee, black, gold, oversized, zl worldwide","FALSE","Size","S","Color","Black","ZL-TEE-BLK-S","700","shopify","0","deny","manual","44.95","54.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/black-product.jpg","2","ZL Oversized Tee Black - ZL Worldwide","FALSE","ZL Oversized Tee Black | ZL Worldwide","Oversized black tee with ZL logo placement and clean back print. Easy to style, premium visual impact.","draft"
"zl-oversized-tee-black","ZL Oversized Tee Black","<p>Oversized black tee with ZL logo placement and clean back print. Easy to style, premium visual impact.</p>","ZL Worldwide","Apparel & Accessories","T-Shirt","tee, black, gold, oversized, zl worldwide","FALSE","Size","M","Color","Black","ZL-TEE-BLK-M","700","shopify","0","deny","manual","44.95","54.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/black-product.jpg","3","ZL Oversized Tee Black - ZL Worldwide","FALSE","ZL Oversized Tee Black | ZL Worldwide","Oversized black tee with ZL logo placement and clean back print. Easy to style, premium visual impact.","draft"
"zl-oversized-tee-black","ZL Oversized Tee Black","<p>Oversized black tee with ZL logo placement and clean back print. Easy to style, premium visual impact.</p>","ZL Worldwide","Apparel & Accessories","T-Shirt","tee, black, gold, oversized, zl worldwide","FALSE","Size","L","Color","Black","ZL-TEE-BLK-L","700","shopify","0","deny","manual","44.95","54.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/black-product.jpg","4","ZL Oversized Tee Black - ZL Worldwide","FALSE","ZL Oversized Tee Black | ZL Worldwide","Oversized black tee with ZL logo placement and clean back print. Easy to style, premium visual impact.","draft"
"zl-oversized-tee-black","ZL Oversized Tee Black","<p>Oversized black tee with ZL logo placement and clean back print. Easy to style, premium visual impact.</p>","ZL Worldwide","Apparel & Accessories","T-Shirt","tee, black, gold, oversized, zl worldwide","FALSE","Size","XL","Color","Black","ZL-TEE-BLK-XL","700","shopify","0","deny","manual","44.95","54.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/black-product.jpg","5","ZL Oversized Tee Black - ZL Worldwide","FALSE","ZL Oversized Tee Black | ZL Worldwide","Oversized black tee with ZL logo placement and clean back print. Easy to style, premium visual impact.","draft"
"zl-oversized-tee-black","ZL Oversized Tee Black","<p>Oversized black tee with ZL logo placement and clean back print. Easy to style, premium visual impact.</p>","ZL Worldwide","Apparel & Accessories","T-Shirt","tee, black, gold, oversized, zl worldwide","FALSE","Size","XXL","Color","Black","ZL-TEE-BLK-XXL","700","shopify","0","deny","manual","44.95","54.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/black-product.jpg","6","ZL Oversized Tee Black - ZL Worldwide","FALSE","ZL Oversized Tee Black | ZL Worldwide","Oversized black tee with ZL logo placement and clean back print. Easy to style, premium visual impact.","draft"
"zl-oversized-tee-white","ZL Oversized Tee White","<p>White oversized tee with gold ZL detailing. Minimal, crisp and made for warm-weather luxury fits.</p>","ZL Worldwide","Apparel & Accessories","T-Shirt","tee, white, gold, oversized, zl worldwide","FALSE","Size","XS","Color","White","ZL-TEE-WHT-XS","700","shopify","0","deny","manual","44.95","54.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/white-product.jpg","1","ZL Oversized Tee White - ZL Worldwide","FALSE","ZL Oversized Tee White | ZL Worldwide","White oversized tee with gold ZL detailing. Minimal, crisp and made for warm-weather luxury fits.","draft"
"zl-oversized-tee-white","ZL Oversized Tee White","<p>White oversized tee with gold ZL detailing. Minimal, crisp and made for warm-weather luxury fits.</p>","ZL Worldwide","Apparel & Accessories","T-Shirt","tee, white, gold, oversized, zl worldwide","FALSE","Size","S","Color","White","ZL-TEE-WHT-S","700","shopify","0","deny","manual","44.95","54.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/white-product.jpg","2","ZL Oversized Tee White - ZL Worldwide","FALSE","ZL Oversized Tee White | ZL Worldwide","White oversized tee with gold ZL detailing. Minimal, crisp and made for warm-weather luxury fits.","draft"
"zl-oversized-tee-white","ZL Oversized Tee White","<p>White oversized tee with gold ZL detailing. Minimal, crisp and made for warm-weather luxury fits.</p>","ZL Worldwide","Apparel & Accessories","T-Shirt","tee, white, gold, oversized, zl worldwide","FALSE","Size","M","Color","White","ZL-TEE-WHT-M","700","shopify","0","deny","manual","44.95","54.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/white-product.jpg","3","ZL Oversized Tee White - ZL Worldwide","FALSE","ZL Oversized Tee White | ZL Worldwide","White oversized tee with gold ZL detailing. Minimal, crisp and made for warm-weather luxury fits.","draft"
"zl-oversized-tee-white","ZL Oversized Tee White","<p>White oversized tee with gold ZL detailing. Minimal, crisp and made for warm-weather luxury fits.</p>","ZL Worldwide","Apparel & Accessories","T-Shirt","tee, white, gold, oversized, zl worldwide","FALSE","Size","L","Color","White","ZL-TEE-WHT-L","700","shopify","0","deny","manual","44.95","54.95","TRUE","TRUE","REPLACE_WITH_PUBLIC_IMAGE_URL/assets/white-product.jpg","4","ZL Oversized Tee White - ZL Worldwide","FALSE","ZL Oversized Tee White | ZL Worldwide","White oversized tee with gold ZL detailing. Minimal, crisp and made for warm-weather luxury fits.","draft"
